,sampling_week,effective_concentration_rolling_average,population,region,state,name,fipscode
0,2021-06-09,4.952360465671804,"30,000-100,000",South,AL,"Madison County, AL",01089
1,2021-06-16,6.469658122038847,"30,000-100,000",South,AL,"Madison County, AL",01089
2,2021-06-23,11.000615931082258,"30,000-100,000",South,AL,"Madison County, AL",01089
3,2021-06-30,42.61303559310554,"30,000-100,000",South,AL,"Madison County, AL",01089
4,2021-07-07,44.265289541135566,"30,000-100,000",South,AL,"Madison County, AL",01089
5,2021-07-14,104.35982168158246,"30,000-100,000",South,AL,"Madison County, AL",01089
6,2021-07-21,180.51245892746329,"30,000-100,000",South,AL,"Madison County, AL",01089
7,2021-07-28,252.3229087605304,"30,000-100,000",South,AL,"Madison County, AL",01089
8,2021-08-04,455.6976539086429,"30,000-100,000",South,AL,"Madison County, AL",01089
9,2021-08-11,699.6375298856196,"30,000-100,000",South,AL,"Madison County, AL",01089
10,2021-08-18,759.9177208537774,"30,000-100,000",South,AL,"Madison County, AL",01089
11,2022-02-16,314.16780824319585,"30,000-100,000",South,AL,"Madison County, AL",01089
12,2022-02-23,210.5005828389134,"30,000-100,000",South,AL,"Madison County, AL",01089
13,2022-03-02,151.1962740509022,"30,000-100,000",South,AL,"Madison County, AL",01089
14,2020-05-20,3.150101313354001,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
15,2021-06-23,46.26415300504497,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
16,2021-06-30,32.74457664987847,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
17,2021-07-07,34.091866167756606,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
18,2021-07-14,36.28551742327681,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
19,2021-07-21,94.60388211209003,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
20,2021-07-28,188.2772422540935,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
21,2021-08-04,267.34971303380445,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
22,2021-08-11,316.4062085397381,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
23,2021-08-18,246.29639125202684,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
24,2022-02-09,225.48995410368087,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
25,2022-02-16,186.8360406255757,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
26,2022-02-23,134.8690679300601,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
27,2020-04-15,18.10472063553101,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
28,2020-04-22,3.77181679906896,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
29,2020-04-29,0.0,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
30,2020-05-06,0.0,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
31,2020-05-13,1.1470739579947304,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
32,2020-05-20,4.588295831978922,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
33,2020-05-27,1.3877319254624438,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
34,2020-06-03,1.155158243845024,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
35,2022-02-16,336.4814910778876,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
36,2022-02-23,317.9832230622431,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
37,2022-03-02,218.75124951371475,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
38,2021-06-09,126.39942587877376,"10,000-30,000",South,AR,"Benton County, AR",05007
39,2021-06-16,169.14920259064957,"10,000-30,000",South,AR,"Benton County, AR",05007
40,2021-06-23,203.39390498734423,"10,000-30,000",South,AR,"Benton County, AR",05007
41,2021-06-30,292.35071320876364,"10,000-30,000",South,AR,"Benton County, AR",05007
42,2021-07-07,362.0099226673908,"10,000-30,000",South,AR,"Benton County, AR",05007
43,2021-07-14,336.7007532996863,"10,000-30,000",South,AR,"Benton County, AR",05007
44,2021-07-21,670.409503325939,"10,000-30,000",South,AR,"Benton County, AR",05007
45,2021-07-28,1255.28921451859,"10,000-30,000",South,AR,"Benton County, AR",05007
46,2021-08-04,1817.5796950565816,"10,000-30,000",South,AR,"Benton County, AR",05007
47,2021-08-11,1939.3965843119424,"10,000-30,000",South,AR,"Benton County, AR",05007
48,2021-08-18,1015.466299464397,"10,000-30,000",South,AR,"Benton County, AR",05007
49,2022-01-26,1821.6676285166068,"10,000-30,000",South,AR,"Benton County, AR",05007
50,2022-02-02,2028.7677205873847,"10,000-30,000",South,AR,"Benton County, AR",05007
51,2022-02-09,993.388249501469,"10,000-30,000",South,AR,"Benton County, AR",05007
52,2022-02-16,247.29716557072769,"10,000-30,000",South,AR,"Benton County, AR",05007
53,2022-02-23,88.17622688133126,"10,000-30,000",South,AR,"Benton County, AR",05007
54,2021-06-09,127.39123184324156,"100,000-300,000",South,AR,"Pulaski County, AR",05119
55,2021-06-16,204.8944865488401,"100,000-300,000",South,AR,"Pulaski County, AR",05119
56,2021-06-23,294.9141009146071,"100,000-300,000",South,AR,"Pulaski County, AR",05119
57,2021-06-30,491.6274547157694,"100,000-300,000",South,AR,"Pulaski County, AR",05119
58,2021-07-07,958.736411599485,"100,000-300,000",South,AR,"Pulaski County, AR",05119
59,2021-07-14,593.2420023756218,"100,000-300,000",South,AR,"Pulaski County, AR",05119
60,2021-07-21,710.0588786963355,"100,000-300,000",South,AR,"Pulaski County, AR",05119
61,2021-07-28,842.9232059922155,"100,000-300,000",South,AR,"Pulaski County, AR",05119
62,2021-08-04,919.8492288589014,"100,000-300,000",South,AR,"Pulaski County, AR",05119
63,2021-08-11,1047.0296415522105,"100,000-300,000",South,AR,"Pulaski County, AR",05119
64,2021-08-18,698.2944980047923,"100,000-300,000",South,AR,"Pulaski County, AR",05119
65,2022-02-02,776.2475877670132,"100,000-300,000",South,AR,"Pulaski County, AR",05119
66,2022-02-09,681.822349350752,"100,000-300,000",South,AR,"Pulaski County, AR",05119
67,2022-02-16,355.1466821777041,"100,000-300,000",South,AR,"Pulaski County, AR",05119
68,2022-02-23,175.81443425067727,"100,000-300,000",South,AR,"Pulaski County, AR",05119
69,2020-05-06,0.0,"10,000-30,000",West,CA,"Monterey County, CA",06053
70,2020-05-13,0.0,"10,000-30,000",West,CA,"Monterey County, CA",06053
71,2020-05-20,0.0,"10,000-30,000",West,CA,"Monterey County, CA",06053
72,2020-05-27,0.0,"10,000-30,000",West,CA,"Monterey County, CA",06053
73,2020-06-03,0.0,"10,000-30,000",West,CA,"Monterey County, CA",06053
74,2020-06-10,26.530124403388687,"10,000-30,000",West,CA,"Monterey County, CA",06053
75,2020-06-17,111.26683066327462,"10,000-30,000",West,CA,"Monterey County, CA",06053
76,2020-06-24,50.939692297872455,"10,000-30,000",West,CA,"Monterey County, CA",06053
77,2020-07-01,27.85855315398202,"10,000-30,000",West,CA,"Monterey County, CA",06053
78,2020-07-08,35.2899524687935,"10,000-30,000",West,CA,"Monterey County, CA",06053
79,2020-07-15,52.55170331413367,"10,000-30,000",West,CA,"Monterey County, CA",06053
80,2020-07-22,154.28693369513252,"10,000-30,000",West,CA,"Monterey County, CA",06053
81,2020-07-29,42.13021599829086,"10,000-30,000",West,CA,"Monterey County, CA",06053
82,2020-08-05,5.704339944239166,"10,000-30,000",West,CA,"Monterey County, CA",06053
83,2020-08-12,5.76051378045988,"10,000-30,000",West,CA,"Monterey County, CA",06053
84,2020-08-19,4.128089193945024,"10,000-30,000",West,CA,"Monterey County, CA",06053
85,2020-08-26,1.5957757617746096,"10,000-30,000",West,CA,"Monterey County, CA",06053
86,2020-09-02,5.057756977684853,"10,000-30,000",West,CA,"Monterey County, CA",06053
87,2020-09-09,18.007663859445312,"10,000-30,000",West,CA,"Monterey County, CA",06053
88,2020-09-16,16.864879736733474,"10,000-30,000",West,CA,"Monterey County, CA",06053
89,2020-09-23,3.469480802340428,"10,000-30,000",West,CA,"Monterey County, CA",06053
90,2020-09-30,0.6013517256875512,"10,000-30,000",West,CA,"Monterey County, CA",06053
91,2020-10-07,1.0027128471442566,"10,000-30,000",West,CA,"Monterey County, CA",06053
92,2020-10-14,6.865670022670616,"10,000-30,000",West,CA,"Monterey County, CA",06053
93,2020-10-21,16.160726384971063,"10,000-30,000",West,CA,"Monterey County, CA",06053
94,2020-10-28,22.06144554597887,"10,000-30,000",West,CA,"Monterey County, CA",06053
95,2020-11-04,53.59231435461167,"10,000-30,000",West,CA,"Monterey County, CA",06053
96,2020-11-11,20.43667678062539,"10,000-30,000",West,CA,"Monterey County, CA",06053
97,2020-11-18,29.89777758932452,"10,000-30,000",West,CA,"Monterey County, CA",06053
98,2020-11-25,130.36859485923324,"10,000-30,000",West,CA,"Monterey County, CA",06053
99,2020-12-02,225.53581840752648,"10,000-30,000",West,CA,"Monterey County, CA",06053
100,2020-12-09,118.32192901630285,"10,000-30,000",West,CA,"Monterey County, CA",06053
101,2020-12-16,66.58486729689024,"10,000-30,000",West,CA,"Monterey County, CA",06053
102,2020-12-23,107.33815422378512,"10,000-30,000",West,CA,"Monterey County, CA",06053
103,2020-12-30,146.91271313041247,"10,000-30,000",West,CA,"Monterey County, CA",06053
104,2021-01-06,157.61608435942193,"10,000-30,000",West,CA,"Monterey County, CA",06053
105,2021-01-13,110.22943053451796,"10,000-30,000",West,CA,"Monterey County, CA",06053
106,2021-01-20,98.14753035648916,"10,000-30,000",West,CA,"Monterey County, CA",06053
107,2021-01-27,44.64879427152332,"10,000-30,000",West,CA,"Monterey County, CA",06053
108,2021-02-03,38.48592229809926,"10,000-30,000",West,CA,"Monterey County, CA",06053
109,2021-02-10,68.2494640882439,"10,000-30,000",West,CA,"Monterey County, CA",06053
110,2021-02-17,20.113857006989043,"10,000-30,000",West,CA,"Monterey County, CA",06053
111,2021-02-24,5.967106807117943,"10,000-30,000",West,CA,"Monterey County, CA",06053
112,2021-03-03,7.530334888535317,"10,000-30,000",West,CA,"Monterey County, CA",06053
113,2021-03-10,7.72152561499522,"10,000-30,000",West,CA,"Monterey County, CA",06053
114,2021-03-17,9.443387990489828,"10,000-30,000",West,CA,"Monterey County, CA",06053
115,2021-03-24,18.27184549353819,"10,000-30,000",West,CA,"Monterey County, CA",06053
116,2021-03-31,18.757726045039902,"10,000-30,000",West,CA,"Monterey County, CA",06053
117,2021-04-07,46.16270404504272,"10,000-30,000",West,CA,"Monterey County, CA",06053
118,2021-04-14,20.17771375943934,"10,000-30,000",West,CA,"Monterey County, CA",06053
119,2021-04-21,4.315523874113675,"10,000-30,000",West,CA,"Monterey County, CA",06053
120,2021-04-28,6.033405707768815,"10,000-30,000",West,CA,"Monterey County, CA",06053
121,2021-05-05,12.280391734617112,"10,000-30,000",West,CA,"Monterey County, CA",06053
122,2021-05-12,4.401330574858671,"10,000-30,000",West,CA,"Monterey County, CA",06053
123,2021-05-19,1.2204317695293092,"10,000-30,000",West,CA,"Monterey County, CA",06053
124,2021-05-26,2.019122309765031,"10,000-30,000",West,CA,"Monterey County, CA",06053
125,2021-06-02,8.163582047547878,"10,000-30,000",West,CA,"Monterey County, CA",06053
126,2021-06-09,6.291677210995462,"10,000-30,000",West,CA,"Monterey County, CA",06053
127,2021-06-16,6.9862804511418295,"10,000-30,000",West,CA,"Monterey County, CA",06053
128,2021-06-23,14.663700969360526,"10,000-30,000",West,CA,"Monterey County, CA",06053
129,2021-06-30,12.45682841132832,"10,000-30,000",West,CA,"Monterey County, CA",06053
130,2021-07-07,48.05278887132688,"10,000-30,000",West,CA,"Monterey County, CA",06053
131,2021-07-14,88.5880132050827,"10,000-30,000",West,CA,"Monterey County, CA",06053
132,2021-07-21,115.44684335455156,"10,000-30,000",West,CA,"Monterey County, CA",06053
133,2021-07-28,133.96457267604424,"10,000-30,000",West,CA,"Monterey County, CA",06053
134,2021-08-04,231.5944774604292,"10,000-30,000",West,CA,"Monterey County, CA",06053
135,2021-08-11,285.2943574613332,"10,000-30,000",West,CA,"Monterey County, CA",06053
136,2021-08-18,320.7393311709379,"10,000-30,000",West,CA,"Monterey County, CA",06053
137,2021-08-25,252.35934502400545,"10,000-30,000",West,CA,"Monterey County, CA",06053
138,2021-09-01,453.0977385418217,"10,000-30,000",West,CA,"Monterey County, CA",06053
139,2021-09-08,284.71413044788807,"10,000-30,000",West,CA,"Monterey County, CA",06053
140,2021-09-15,172.91575710056648,"10,000-30,000",West,CA,"Monterey County, CA",06053
141,2021-09-22,68.56304100225275,"10,000-30,000",West,CA,"Monterey County, CA",06053
142,2021-09-29,93.915961692782,"10,000-30,000",West,CA,"Monterey County, CA",06053
143,2021-10-06,78.43111867172644,"10,000-30,000",West,CA,"Monterey County, CA",06053
144,2021-10-13,204.7824021135592,"10,000-30,000",West,CA,"Monterey County, CA",06053
145,2021-10-20,136.07639366916985,"10,000-30,000",West,CA,"Monterey County, CA",06053
146,2021-10-27,637.5199722498284,"10,000-30,000",West,CA,"Monterey County, CA",06053
147,2021-11-03,2050.0235130964816,"10,000-30,000",West,CA,"Monterey County, CA",06053
148,2021-11-10,720.0098761714539,"10,000-30,000",West,CA,"Monterey County, CA",06053
149,2021-11-17,86.31511696499003,"10,000-30,000",West,CA,"Monterey County, CA",06053
150,2021-11-24,28.94018499261268,"10,000-30,000",West,CA,"Monterey County, CA",06053
151,2021-12-01,59.58270269408621,"10,000-30,000",West,CA,"Monterey County, CA",06053
152,2021-12-08,176.0433177405848,"10,000-30,000",West,CA,"Monterey County, CA",06053
153,2021-12-15,184.89736155357772,"10,000-30,000",West,CA,"Monterey County, CA",06053
154,2021-12-22,741.280749148524,"10,000-30,000",West,CA,"Monterey County, CA",06053
155,2021-12-29,2214.3965503405707,"10,000-30,000",West,CA,"Monterey County, CA",06053
156,2022-01-05,2047.349504544168,"10,000-30,000",West,CA,"Monterey County, CA",06053
157,2022-01-12,1325.2716207925507,"10,000-30,000",West,CA,"Monterey County, CA",06053
158,2022-01-19,821.6696553218748,"10,000-30,000",West,CA,"Monterey County, CA",06053
159,2022-01-26,874.7068720845622,"10,000-30,000",West,CA,"Monterey County, CA",06053
160,2022-02-02,695.0104571651514,"10,000-30,000",West,CA,"Monterey County, CA",06053
161,2022-02-09,321.5771487243231,"10,000-30,000",West,CA,"Monterey County, CA",06053
162,2022-02-16,320.72859530505286,"10,000-30,000",West,CA,"Monterey County, CA",06053
163,2022-02-23,731.9926384233501,"10,000-30,000",West,CA,"Monterey County, CA",06053
164,2020-04-01,0.0,"30,000-100,000",West,CA,"Placer County, CA",06061
165,2020-04-08,0.0,"30,000-100,000",West,CA,"Placer County, CA",06061
166,2020-04-15,0.0,"30,000-100,000",West,CA,"Placer County, CA",06061
167,2020-04-22,0.0,"30,000-100,000",West,CA,"Placer County, CA",06061
168,2020-04-29,0.0,"30,000-100,000",West,CA,"Placer County, CA",06061
169,2020-05-06,0.0,"30,000-100,000",West,CA,"Placer County, CA",06061
170,2020-05-13,0.0,"30,000-100,000",West,CA,"Placer County, CA",06061
171,2020-05-20,3.4391605699646246,"30,000-100,000",West,CA,"Placer County, CA",06061
172,2020-05-27,29.22719389622496,"30,000-100,000",West,CA,"Placer County, CA",06061
173,2020-06-03,70.41034284211356,"30,000-100,000",West,CA,"Placer County, CA",06061
174,2020-06-10,107.87568253101408,"30,000-100,000",West,CA,"Placer County, CA",06061
175,2020-06-17,306.97292836004607,"30,000-100,000",West,CA,"Placer County, CA",06061
176,2020-06-24,144.35214515203677,"30,000-100,000",West,CA,"Placer County, CA",06061
177,2020-07-01,94.51927397327034,"30,000-100,000",West,CA,"Placer County, CA",06061
178,2020-07-08,67.766864935576,"30,000-100,000",West,CA,"Placer County, CA",06061
179,2020-07-15,61.727156738272704,"30,000-100,000",West,CA,"Placer County, CA",06061
180,2020-07-22,92.73095060693738,"30,000-100,000",West,CA,"Placer County, CA",06061
181,2020-07-29,47.68536010813593,"30,000-100,000",West,CA,"Placer County, CA",06061
182,2020-08-05,49.71758142261166,"30,000-100,000",West,CA,"Placer County, CA",06061
183,2020-08-12,53.33400072857639,"30,000-100,000",West,CA,"Placer County, CA",06061
184,2020-08-19,50.753409207719336,"30,000-100,000",West,CA,"Placer County, CA",06061
185,2020-08-26,61.86437806068426,"30,000-100,000",West,CA,"Placer County, CA",06061
186,2020-09-02,49.571444978967214,"30,000-100,000",West,CA,"Placer County, CA",06061
187,2020-09-09,42.19996408388288,"30,000-100,000",West,CA,"Placer County, CA",06061
188,2020-09-16,29.782874162057507,"30,000-100,000",West,CA,"Placer County, CA",06061
189,2020-09-23,26.726368987630803,"30,000-100,000",West,CA,"Placer County, CA",06061
190,2020-09-30,22.656964264157747,"30,000-100,000",West,CA,"Placer County, CA",06061
191,2020-10-07,35.63089621623643,"30,000-100,000",West,CA,"Placer County, CA",06061
192,2020-10-14,45.48655585852341,"30,000-100,000",West,CA,"Placer County, CA",06061
193,2020-10-21,80.82182700557534,"30,000-100,000",West,CA,"Placer County, CA",06061
194,2020-10-28,47.18259320501147,"30,000-100,000",West,CA,"Placer County, CA",06061
195,2020-11-04,54.716041516466696,"30,000-100,000",West,CA,"Placer County, CA",06061
196,2020-11-11,153.48478170760018,"30,000-100,000",West,CA,"Placer County, CA",06061
197,2020-11-18,286.55316736862306,"30,000-100,000",West,CA,"Placer County, CA",06061
198,2020-11-25,505.8371359397763,"30,000-100,000",West,CA,"Placer County, CA",06061
199,2020-12-02,632.0928915696098,"30,000-100,000",West,CA,"Placer County, CA",06061
200,2020-12-09,924.4297191165118,"30,000-100,000",West,CA,"Placer County, CA",06061
201,2020-12-16,948.0646482890178,"30,000-100,000",West,CA,"Placer County, CA",06061
202,2020-12-23,425.2956097630785,"30,000-100,000",West,CA,"Placer County, CA",06061
203,2020-12-30,759.9880594092532,"30,000-100,000",West,CA,"Placer County, CA",06061
204,2021-01-06,750.9165752174057,"30,000-100,000",West,CA,"Placer County, CA",06061
205,2021-01-13,657.4611093437112,"30,000-100,000",West,CA,"Placer County, CA",06061
206,2021-01-20,270.1734021465151,"30,000-100,000",West,CA,"Placer County, CA",06061
207,2021-01-27,232.1869401877127,"30,000-100,000",West,CA,"Placer County, CA",06061
208,2021-02-03,176.85682374865618,"30,000-100,000",West,CA,"Placer County, CA",06061
209,2021-02-10,119.91987514548502,"30,000-100,000",West,CA,"Placer County, CA",06061
210,2021-02-17,60.68679421533724,"30,000-100,000",West,CA,"Placer County, CA",06061
211,2021-02-24,71.78604931585546,"30,000-100,000",West,CA,"Placer County, CA",06061
212,2021-03-03,47.244797268984605,"30,000-100,000",West,CA,"Placer County, CA",06061
213,2021-03-10,29.683239854651248,"30,000-100,000",West,CA,"Placer County, CA",06061
214,2021-03-17,28.73465053902428,"30,000-100,000",West,CA,"Placer County, CA",06061
215,2021-03-24,39.41537254083807,"30,000-100,000",West,CA,"Placer County, CA",06061
216,2021-03-31,46.3799154112657,"30,000-100,000",West,CA,"Placer County, CA",06061
217,2021-04-07,39.74394368888202,"30,000-100,000",West,CA,"Placer County, CA",06061
218,2021-04-14,49.3612675893632,"30,000-100,000",West,CA,"Placer County, CA",06061
219,2021-04-21,47.7126197359142,"30,000-100,000",West,CA,"Placer County, CA",06061
220,2021-04-28,34.849749608066105,"30,000-100,000",West,CA,"Placer County, CA",06061
221,2021-05-05,28.1549911830264,"30,000-100,000",West,CA,"Placer County, CA",06061
222,2021-05-12,33.31898615549397,"30,000-100,000",West,CA,"Placer County, CA",06061
223,2021-05-19,19.804192990605312,"30,000-100,000",West,CA,"Placer County, CA",06061
224,2021-05-26,31.71524647966146,"30,000-100,000",West,CA,"Placer County, CA",06061
225,2021-06-02,58.64665853673893,"30,000-100,000",West,CA,"Placer County, CA",06061
226,2021-06-09,140.76631306480746,"30,000-100,000",West,CA,"Placer County, CA",06061
227,2021-06-16,141.8144782329296,"30,000-100,000",West,CA,"Placer County, CA",06061
228,2021-06-23,101.06876601062577,"30,000-100,000",West,CA,"Placer County, CA",06061
229,2021-06-30,105.17200145327456,"30,000-100,000",West,CA,"Placer County, CA",06061
230,2021-07-07,105.97050193796164,"30,000-100,000",West,CA,"Placer County, CA",06061
231,2021-07-14,152.28560173004414,"30,000-100,000",West,CA,"Placer County, CA",06061
232,2021-07-21,209.393630530626,"30,000-100,000",West,CA,"Placer County, CA",06061
233,2021-07-28,427.3657860348101,"30,000-100,000",West,CA,"Placer County, CA",06061
234,2021-08-04,642.7351844932513,"30,000-100,000",West,CA,"Placer County, CA",06061
235,2021-08-11,877.0925841823654,"30,000-100,000",West,CA,"Placer County, CA",06061
236,2021-08-18,1747.0122474986845,"30,000-100,000",West,CA,"Placer County, CA",06061
237,2021-09-01,1439.8740523709137,"30,000-100,000",West,CA,"Placer County, CA",06061
238,2021-09-08,1033.0979349418126,"30,000-100,000",West,CA,"Placer County, CA",06061
239,2021-09-15,1204.7390962533248,"30,000-100,000",West,CA,"Placer County, CA",06061
240,2021-09-22,1142.3727349633923,"30,000-100,000",West,CA,"Placer County, CA",06061
241,2021-09-29,752.7935445679171,"30,000-100,000",West,CA,"Placer County, CA",06061
242,2021-10-06,795.5887681113163,"30,000-100,000",West,CA,"Placer County, CA",06061
243,2021-10-13,520.4090647328894,"30,000-100,000",West,CA,"Placer County, CA",06061
244,2021-11-03,481.4119371295439,"30,000-100,000",West,CA,"Placer County, CA",06061
245,2021-11-17,471.2860605929389,"30,000-100,000",West,CA,"Placer County, CA",06061
246,2021-12-01,579.1463772678189,"30,000-100,000",West,CA,"Placer County, CA",06061
247,2021-12-08,261.0609228230517,"30,000-100,000",West,CA,"Placer County, CA",06061
248,2021-12-15,374.9207256624748,"30,000-100,000",West,CA,"Placer County, CA",06061
249,2021-12-22,1402.238651037654,"30,000-100,000",West,CA,"Placer County, CA",06061
250,2022-01-05,2977.3953980178253,"30,000-100,000",West,CA,"Placer County, CA",06061
251,2022-01-12,2494.09413291385,"30,000-100,000",West,CA,"Placer County, CA",06061
252,2022-01-19,3047.8958585448486,"30,000-100,000",West,CA,"Placer County, CA",06061
253,2022-01-26,3162.112864824665,"30,000-100,000",West,CA,"Placer County, CA",06061
254,2022-02-02,1355.486313612599,"30,000-100,000",West,CA,"Placer County, CA",06061
255,2022-02-09,565.5556947238866,"30,000-100,000",West,CA,"Placer County, CA",06061
256,2022-02-16,303.6396579271825,"30,000-100,000",West,CA,"Placer County, CA",06061
257,2022-02-23,155.72468006775037,"30,000-100,000",West,CA,"Placer County, CA",06061
258,2021-06-16,11.064940251280296,"30,000-100,000",West,CA,"Riverside County, CA",06065
259,2021-06-23,18.373238689693608,"30,000-100,000",West,CA,"Riverside County, CA",06065
260,2021-07-07,23.6062737220749,"30,000-100,000",West,CA,"Riverside County, CA",06065
261,2021-07-14,40.255986442194605,"30,000-100,000",West,CA,"Riverside County, CA",06065
262,2021-07-21,80.87657048011668,"30,000-100,000",West,CA,"Riverside County, CA",06065
263,2021-07-28,155.1749203549838,"30,000-100,000",West,CA,"Riverside County, CA",06065
264,2021-08-04,184.3696610931225,"30,000-100,000",West,CA,"Riverside County, CA",06065
265,2021-08-11,206.39638070243905,"30,000-100,000",West,CA,"Riverside County, CA",06065
266,2021-08-18,240.1350530959729,"30,000-100,000",West,CA,"Riverside County, CA",06065
267,2021-09-01,207.9122442579896,"30,000-100,000",West,CA,"Riverside County, CA",06065
268,2021-09-08,312.79880548368465,"30,000-100,000",West,CA,"Riverside County, CA",06065
269,2021-09-15,291.291856621087,"30,000-100,000",West,CA,"Riverside County, CA",06065
270,2021-09-22,159.35250026176092,"30,000-100,000",West,CA,"Riverside County, CA",06065
271,2022-02-02,232.8537995029216,"30,000-100,000",West,CA,"Riverside County, CA",06065
272,2022-02-09,147.0314070917993,"30,000-100,000",West,CA,"Riverside County, CA",06065
273,2022-02-16,87.15718442488827,"30,000-100,000",West,CA,"Riverside County, CA",06065
274,2022-02-23,44.307369898727394,"30,000-100,000",West,CA,"Riverside County, CA",06065
275,2022-03-02,22.82519940367128,"30,000-100,000",West,CA,"Riverside County, CA",06065
276,2020-08-12,117.29760099288367,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
277,2020-08-19,84.24906075517272,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
278,2020-08-26,84.12847710478285,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
279,2020-09-02,98.14488794072255,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
280,2020-09-09,92.32403323199831,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
281,2020-09-16,89.28952651382188,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
282,2020-09-23,57.31123265295634,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
283,2020-09-30,57.10715464728463,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
284,2020-10-07,37.71498309533413,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
285,2020-10-14,29.42437642762761,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
286,2020-10-21,55.35841689894925,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
287,2020-10-28,76.70003459153756,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
288,2020-11-04,76.22243465045106,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
289,2020-11-11,172.7409590461075,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
290,2020-11-18,268.0885310288782,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
291,2020-11-25,361.6147832878235,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
292,2020-12-02,458.4808531080964,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
293,2020-12-09,430.92964281721873,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
294,2020-12-16,583.3894493435207,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
295,2020-12-23,514.0470923562053,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
296,2021-01-06,493.2506172384372,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
297,2021-01-13,433.7731637173718,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
298,2021-01-20,273.8526566483834,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
299,2021-01-27,254.50073264093703,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
300,2021-06-09,41.89611589902749,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
301,2021-06-16,46.55822885889788,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
302,2021-06-23,49.3860542632145,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
303,2021-06-30,77.70671618489457,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
304,2021-07-07,154.56997400083137,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
305,2021-07-14,143.33444849393152,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
306,2021-07-21,211.5355657760612,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
307,2021-07-28,412.28251426937095,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
308,2021-08-04,387.69841210926734,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
309,2021-08-11,469.8115351807856,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
310,2021-08-18,429.5467797387424,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
311,2022-01-26,886.9394600197322,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
312,2022-02-02,534.5052249396224,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
313,2022-02-09,291.8789245709561,"1,000,000-3,000,000",West,CA,"Sacramento County, CA",06067
